ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone
2415,Dr.Juan C. Angara Airport,Baler,Philippines,BQA,RPUR,15.729309,121.500034,108,8.0
2243,Rota International Airport,Rota,Northern Mariana Islands,ROP,PGRO,14.17430019378662,145.2429962158203,607,10.0
3249,Mutiara Airport,Palu,Indonesia,PLW,WAML,-0.9185420274734496,119.91000366210938,284,8.0
2883,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,TIST,18.337299346923828,-64.97339630126953,23,-4.0
1559,Latina Air Base,Latina,Italy,QLT,LIRL,41.5424,12.909,94,1.0
7621,Bartow Municipal Airport,Bartow,United States,BOW,KBOW,27.9433994293,-81.78340148930002,125,-5.0
6745,Tugdan Airport,Romblon,Philippines,TBH,RPVU,12.3109998703,122.084999084,10,8.0
7182,Selawik Airport,Selawik,United States,WLK,PASK,66.60009766,-159.9859924,17,-9.0
5922,Fayzabad Airport,Faizabad,Afghanistan,FBD,OAFZ,37.121101,70.518097,3872,4.5
218,Mecheria Airport,Mecheria,Algeria,MZW,DAAY,33.535900116,-0.242353007197,3855,1.0
2768,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,TJA,SLTJ,-21.5557003021,-64.7013015747,6079,-4.0
8553,Tri State Steuben County Airport,Angola,United States,ANQ,KANQ,41.639702,-85.083504,995,-5.0
11755,Hope Airport,Hope,Canada,YHE,CYHE,49.3683013916,-121.498001099,128,-8.0
10618,Borroloola Airport,Borroloola,Australia,BOX,YBRL,-16.075300216674805,136.302001953125,55,9.5
953,Menongue Airport,Menongue,Angola,SPP,FNME,-14.657600402832031,17.71980094909668,4469,1.0
3910,Iskandar Airport,Pangkalan Bun,Indonesia,PKN,WAOI,-2.70519995689,111.672996521,75,7.0
6245,Burketown Airport,Burketown,Australia,BUC,YBKT,-17.748600006103516,139.53399658203125,21,10.0
5501,Nemiscau Airport,Nemiscau,Canada,YNS,CYHH,51.69110107421875,-76.1355972290039,802,-5.0
12676,Glasgow Municipal Airport,Glasgow,United States,GLW,KGLW,37.03179932,-85.9536972,716,-6.0
901,Garoua International Airport,Garoua,Cameroon,GOU,FKKR,9.33588981628418,13.370100021362305,794,1.0
11332,Sawan Airport,Sindh,Pakistan,RZS,OPSW,26.9662,68.878098,160,5.0
